location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Austria,2021/1/8,31790,31772,3,0
Austria,2021/1/15,117665,117207,413,0
Austria,2021/1/22,216189,210927,5078,0
Austria,2021/1/29,265704,242645,22730,2
Austria,2021/2/5,364418,261361,102623,22
Austria,2021/2/12,482438,290286,191427,42
Austria,2021/2/19,586391,354057,231289,50
Austria,2021/2/26,715245,461280,252766,60
Austria,2021/3/5,885732,616346,267987,67
Austria,2021/3/12,1146023,845268,299008,79
Austria,2021/3/19,1386146,1037036,347186,89
Austria,2021/3/26,1636696,1193500,441072,98
Austria,2021/4/2,1863002,1337870,522752,108
Austria,2021/4/9,2219599,1555064,661789,155
Austria,2021/4/16,2597215,1833700,760467,175
Austria,2021/4/23,2952324,2127931,821048,202
Austria,2021/4/30,3313413,2419044,890789,232
Austria,2021/5/7,3769595,2756010,1015822,275
Austria,2021/5/14,4198562,3078478,1129222,327
Austria,2021/5/21,4745351,3443295,1323411,395
Austria,2021/5/28,5239573,3701057,1572100,479
Austria,2021/6/4,5824871,4013690,1865647,585
Austria,2021/6/11,6463485,4311598,2228669,735
Austria,2021/6/18,7062963,4567831,2587058,914
Austria,2021/6/25,7681377,4780781,3001085,1086
Austria,2021/7/2,8307594,4982328,3451574,1345
Austria,2021/7/9,8809627,5134769,3825406,1849
Austria,2021/7/16,9235745,5245966,4159436,2380
Austria,2021/7/23,9609828,5338010,4457963,2782
Austria,2021/7/30,9920906,5395358,4723579,3271
Austria,2021/8/6,10189078,5452215,4949841,3832
Austria,2021/8/13,10372949,5491228,5104538,4568
Austria,2021/8/20,10526122,5537256,5224409,5448
Austria,2021/8/27,10625859,5585397,5288780,6659
Austria,2021/9/3,10718512,5634739,5341513,10484
Austria,2021/9/10,10811721,5688935,5388610,16590
Austria,2021/9/17,10920680,5747770,5437045,29847
Austria,2021/9/24,11034119,5803799,5485104,53179
Austria,2021/10/1,11148412,5847952,5528283,87687
Austria,2021/10/8,11289327,5883507,5572957,152479
Austria,2021/10/15,11424338,5913262,5614360,219008
Austria,2021/10/22,11582148,5950215,5654961,302433
Austria,2021/10/29,11728922,6003786,5689024,366862
Austria,2021/11/5,11993434,6083947,5726999,517739
Austria,2021/11/12,12495122,6222882,5774657,836120
Austria,2021/11/19,13190432,6338821,5831434,1359862
Austria,2021/11/26,13986115,6429431,5897396,1999068
Austria,2021/12/3,14754686,6508467,5991010,2594668
Austria,2021/12/10,15432474,6575291,6092932,3103421
Austria,2021/12/17,16117395,6647425,6200315,3608362
Austria,2021/12/24,16442896,6682680,6262472,3835880
Austria,2021/12/31,16677400,6707225,6315016,3992833
Austria,2022/1/7,16976974,6738714,6382719,4192435
Austria,2022/1/14,17314752,6774368,6447765,4427410
Austria,2022/1/21,17560251,6803541,6486888,4603686
Austria,2022/1/28,17760687,6823970,6519956,4749607
Austria,2022/2/4,17963207,6837231,6552854,4903472
Austria,2022/2/11,18069467,6846623,6577677,4972844
Austria,2022/2/18,18130254,6852557,6594820,5007391
Austria,2022/2/25,18172954,6856666,6606812,5031261
Austria,2022/3/4,18209211,6861174,6615616,5050765
Austria,2022/3/11,18237778,6864031,6622219,5066400
Austria,2022/3/18,18261878,6866115,6626829,5080262
Austria,2022/3/25,18287092,6868259,6631502,5094669
Austria,2022/4/1,18310588,6869917,6635202,5108707
Austria,2022/4/8,18332948,6871423,6638026,5122546
Austria,2022/4/15,18352299,6872573,6640142,5134530
Austria,2022/4/22,18373879,6873670,6642597,5146877
