location,date,vaccine,total_vaccinations
Italy,2020/12/27,"Moderna, Pfizer/BioNTech",7191
Italy,2020/12/28,"Moderna, Pfizer/BioNTech",8696
Italy,2020/12/29,"Moderna, Pfizer/BioNTech",9795
Italy,2020/12/30,"Moderna, Pfizer/BioNTech",14689
Italy,2020/12/31,"Moderna, Pfizer/BioNTech",40667
Italy,2021/1/1,"Moderna, Pfizer/BioNTech",51939
Italy,2021/1/2,"Moderna, Pfizer/BioNTech",91012
Italy,2021/1/3,"Moderna, Pfizer/BioNTech",126889
Italy,2021/1/4,"Johnson&Johnson, Moderna, Pfizer/BioNTech",196562
Italy,2021/1/5,"Johnson&Johnson, Moderna, Pfizer/BioNTech",276867
Italy,2021/1/6,"Johnson&Johnson, Moderna, Pfizer/BioNTech",342087
Italy,2021/1/7,"Johnson&Johnson, Moderna, Pfizer/BioNTech",434801
Italy,2021/1/8,"Johnson&Johnson, Moderna, Pfizer/BioNTech",531842
Italy,2021/1/9,"Johnson&Johnson, Moderna, Pfizer/BioNTech",620158
Italy,2021/1/10,"Johnson&Johnson, Moderna, Pfizer/BioNTech",681117
Italy,2021/1/11,"Johnson&Johnson, Moderna, Pfizer/BioNTech",763349
Italy,2021/1/12,"Johnson&Johnson, Moderna, Pfizer/BioNTech",846906
Italy,2021/1/13,"Johnson&Johnson, Moderna, Pfizer/BioNTech",942428
Italy,2021/1/14,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1037074
Italy,2021/1/15,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1128148
Italy,2021/1/16,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1194308
Italy,2021/1/17,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1231972
Italy,2021/1/18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1276697
Italy,2021/1/19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1310338
Italy,2021/1/20,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1341889
Italy,2021/1/21,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1378508
Italy,2021/1/22,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1406030
Italy,2021/1/23,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1445433
Italy,2021/1/24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1479525
Italy,2021/1/25,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1549334
