location,date,vaccine,total_vaccinations
United States,2020/12/13,Pfizer/BioNTech,45620
United States,2020/12/14,Pfizer/BioNTech,50468
United States,2020/12/15,Pfizer/BioNTech,98353
United States,2020/12/16,Pfizer/BioNTech,258504
United States,2020/12/17,Pfizer/BioNTech,533742
United States,2020/12/18,Pfizer/BioNTech,954790
United States,2020/12/19,Pfizer/BioNTech,1139003
United States,2020/12/20,Pfizer/BioNTech,1246202
United States,2020/12/21,Pfizer/BioNTech,1633303
United States,2020/12/22,Pfizer/BioNTech,2084575
United States,2020/12/23,"Moderna, Pfizer/BioNTech",2662880
United States,2020/12/24,"Moderna, Pfizer/BioNTech",2860781
United States,2020/12/25,"Moderna, Pfizer/BioNTech",2873624
United States,2020/12/26,"Moderna, Pfizer/BioNTech",3017158
United States,2020/12/27,"Moderna, Pfizer/BioNTech",3114027
United States,2020/12/28,"Moderna, Pfizer/BioNTech",3711556
United States,2020/12/29,"Moderna, Pfizer/BioNTech",4440692
United States,2020/12/30,"Moderna, Pfizer/BioNTech",5289609
United States,2020/12/31,"Moderna, Pfizer/BioNTech",5716312
United States,2021/1/1,"Moderna, Pfizer/BioNTech",5854174
United States,2021/1/2,"Moderna, Pfizer/BioNTech",6123124
United States,2021/1/3,"Moderna, Pfizer/BioNTech",6264523
United States,2021/1/4,"Moderna, Pfizer/BioNTech",6930229
United States,2021/1/5,"Moderna, Pfizer/BioNTech",7771008
United States,2021/1/6,"Moderna, Pfizer/BioNTech",8801611
United States,2021/1/7,"Moderna, Pfizer/BioNTech",9979326
United States,2021/1/8,"Moderna, Pfizer/BioNTech",11224067
United States,2021/1/9,"Moderna, Pfizer/BioNTech",11736696
United States,2021/1/10,"Moderna, Pfizer/BioNTech",11989784
United States,2021/1/11,"Moderna, Pfizer/BioNTech",13068929
United States,2021/1/12,"Moderna, Pfizer/BioNTech",14334853
United States,2021/1/13,"Moderna, Pfizer/BioNTech",15669707
United States,2021/1/14,"Moderna, Pfizer/BioNTech",16995452
United States,2021/1/15,"Moderna, Pfizer/BioNTech",18264041
United States,2021/1/16,"Moderna, Pfizer/BioNTech",18915824
United States,2021/1/17,"Moderna, Pfizer/BioNTech",19218336
United States,2021/1/18,"Moderna, Pfizer/BioNTech",20110141
United States,2021/1/19,"Moderna, Pfizer/BioNTech",21463944
United States,2021/1/20,"Moderna, Pfizer/BioNTech",23079181
United States,2021/1/21,"Moderna, Pfizer/BioNTech",24726816
United States,2021/1/22,"Moderna, Pfizer/BioNTech",26373687
United States,2021/1/23,"Moderna, Pfizer/BioNTech",27287063
United States,2021/1/24,"Moderna, Pfizer/BioNTech",27690932
United States,2021/1/25,"Moderna, Pfizer/BioNTech",29075771
United States,2021/1/26,"Moderna, Pfizer/BioNTech",30746637
United States,2021/1/27,"Moderna, Pfizer/BioNTech",32684763
United States,2021/1/28,"Moderna, Pfizer/BioNTech",34655252
United States,2021/1/29,"Moderna, Pfizer/BioNTech",36580372
United States,2021/1/30,"Moderna, Pfizer/BioNTech",37602504
