iso_code,vaccine_name
AFG,CanSino
AFG,Covaxin
AFG,Johnson&Johnson
AFG,Moderna
AFG,Oxford/AstraZeneca
AFG,Pfizer/BioNTech
AFG,Sinopharm/Beijing
AFG,Sinovac
AFG,Sputnik Light
AFG,Sputnik V
ALB,Oxford/AstraZeneca
ALB,Pfizer/BioNTech
ALB,Sinovac
ALB,Sputnik V
DZA,Oxford/AstraZeneca
DZA,Sinopharm/Beijing
DZA,Sinovac
DZA,Sputnik V
AND,Moderna
AND,Oxford/AstraZeneca
AND,Pfizer/BioNTech
AGO,Oxford/AstraZeneca
AIA,Oxford/AstraZeneca
AIA,Pfizer/BioNTech
ATG,Johnson&Johnson
ATG,Oxford/AstraZeneca
ATG,Pfizer/BioNTech
ATG,Sinopharm/Beijing
ATG,Sputnik V
ARG,CanSino
ARG,Moderna
ARG,Oxford/AstraZeneca
ARG,Pfizer/BioNTech
ARG,Sinopharm/Beijing
ARG,Sputnik V
ARM,Johnson&Johnson
ARM,Moderna
ARM,Oxford/AstraZeneca
ARM,Pfizer/BioNTech
ARM,Sinopharm/Beijing
ARM,Sinopharm/Wuhan
ARM,Sinovac
ARM,Sputnik Light
ARM,Sputnik V
ABW,Pfizer/BioNTech
AUS,Johnson&Johnson
AUS,Moderna
AUS,Novavax
AUS,Oxford/AstraZeneca
AUS,Pfizer/BioNTech
AUT,Johnson&Johnson
AUT,Moderna
AUT,Novavax
AUT,Oxford/AstraZeneca
AUT,Pfizer/BioNTech
AUT,Sanofi/GSK
AUT,Valneva
AZE,Oxford/AstraZeneca
AZE,Pfizer/BioNTech
AZE,Sinovac
AZE,Sputnik V
BHS,Johnson&Johnson
BHS,Oxford/AstraZeneca
BHS,Pfizer/BioNTech
BHR,CanSino
BHR,Covaxin
BHR,Johnson&Johnson
BHR,Moderna
BHR,Oxford/AstraZeneca
BHR,Pfizer/BioNTech
BHR,Sinopharm/Beijing
BHR,Sinovac
BHR,Sputnik Light
BHR,Sputnik V
BGD,Johnson&Johnson
BGD,Moderna
BGD,Oxford/AstraZeneca
BGD,Pfizer/BioNTech
BGD,Sinopharm/Beijing
BGD,Sinovac
BRB,Johnson&Johnson
BRB,Oxford/AstraZeneca
BRB,Pfizer/BioNTech
BRB,Sinopharm/Beijing
BLR,KoviVac/Chumakov
BLR,Sinopharm/Beijing
BLR,Sputnik Light
BLR,Sputnik V
BEL,Johnson&Johnson
BEL,Moderna
BEL,Novavax
BEL,Oxford/AstraZeneca
BEL,Pfizer/BioNTech
BLZ,Johnson&Johnson
BLZ,Oxford/AstraZeneca
BLZ,Pfizer/BioNTech
BLZ,Sinopharm/Beijing
BEN,Johnson&Johnson
BEN,Oxford/AstraZeneca
BEN,Pfizer/BioNTech
BEN,Sinovac
BMU,Oxford/AstraZeneca
BMU,Pfizer/BioNTech
BTN,Moderna
BTN,Oxford/AstraZeneca
BTN,Pfizer/BioNTech
BTN,Sinopharm/Beijing
BOL,Johnson&Johnson
BOL,Oxford/AstraZeneca
