iso_code,date,vaccine_name,total_vaccinations
ARG,2020/12/29,Oxford/AstraZeneca,1
ARG,2020/12/29,Sinopharm/Beijing,1
ARG,2020/12/29,Sputnik V,20493
ARG,2020/12/30,Sputnik V,40595
ARG,2020/12/31,Sputnik V,43401
ARG,2021/1/1,Oxford/AstraZeneca,3
ARG,2021/1/1,Sputnik V,43528
ARG,2021/1/2,Oxford/AstraZeneca,4
ARG,2021/1/2,Pfizer/BioNTech,1
ARG,2021/1/2,Sputnik V,46838
ARG,2021/1/3,Pfizer/BioNTech,3
ARG,2021/1/3,Sputnik V,47282
ARG,2021/1/4,Sputnik V,57745
ARG,2021/1/5,Sinopharm/Beijing,5
ARG,2021/1/5,Sputnik V,68472
ARG,2021/1/6,Oxford/AstraZeneca,5
ARG,2021/1/6,Pfizer/BioNTech,6
ARG,2021/1/6,Sinopharm/Beijing,8
ARG,2021/1/6,Sputnik V,78585
ARG,2021/1/7,Oxford/AstraZeneca,9
ARG,2021/1/7,Pfizer/BioNTech,8
ARG,2021/1/7,Sinopharm/Beijing,10
ARG,2021/1/7,Sputnik V,96811
ARG,2021/1/8,Oxford/AstraZeneca,10
ARG,2021/1/8,Sputnik V,124704
ARG,2021/1/9,Oxford/AstraZeneca,11
ARG,2021/1/9,Pfizer/BioNTech,9
ARG,2021/1/9,Sinopharm/Beijing,11
ARG,2021/1/9,Sputnik V,134912
ARG,2021/1/10,Pfizer/BioNTech,12
ARG,2021/1/10,Sinopharm/Beijing,12
ARG,2021/1/10,Sputnik V,136087
ARG,2021/1/11,Oxford/AstraZeneca,12
ARG,2021/1/11,Sinopharm/Beijing,14
ARG,2021/1/11,Sputnik V,155915
ARG,2021/1/12,Oxford/AstraZeneca,14
ARG,2021/1/12,Pfizer/BioNTech,13
ARG,2021/1/12,Sinopharm/Beijing,17
ARG,2021/1/12,Sputnik V,175306
ARG,2021/1/13,Moderna,1
ARG,2021/1/13,Oxford/AstraZeneca,15
ARG,2021/1/13,Sinopharm/Beijing,21
ARG,2021/1/13,Sputnik V,192078
ARG,2021/1/14,Pfizer/BioNTech,14
ARG,2021/1/14,Sinopharm/Beijing,22
ARG,2021/1/14,Sputnik V,208726
ARG,2021/1/15,Sputnik V,226173
ARG,2021/1/16,Sputnik V,232058
ARG,2021/1/17,Pfizer/BioNTech,15
ARG,2021/1/17,Sputnik V,233121
ARG,2021/1/18,Pfizer/BioNTech,16
ARG,2021/1/18,Sputnik V,242954
ARG,2021/1/19,CanSino,1
ARG,2021/1/19,Sinopharm/Beijing,24
ARG,2021/1/19,Sputnik V,256208
ARG,2021/1/20,Sputnik V,275642
ARG,2021/1/21,Oxford/AstraZeneca,20
ARG,2021/1/21,Sinopharm/Beijing,26
